"Coco"~"REALD 3D"~"Closed Caption"~"Audio Description"~"10:30am"~"11:30am"~"2:30pm"~"6:00pm"~"9:30pm"
"Coco"~"REALD 3D"~"Dine-In Full Service"~"Closed Caption"~"Audio Description"~"12:30pm"~"4:00pm"
"Coco"~"DIGITAL"~"Spanish Spoken with No Subtitles"~"10:30am"~"2:00pm"
"Coco"~"DIGITAL"~"Closed Caption"~"Audio Description"~"11:00am"~"1:30pm"~"4:45pm"~"5:30pm"~"8:00pm"~"8:45pm"~"11:15pm"
"Coco"~"DIGITAL"~"Dine-In Full Service"~"Closed Caption"~"Audio Description"~"11:45am"~"3:15pm"~"6:45pm"~"7:30pm"~"10:00pm"~"10:45pm"
"Justice League"~"REALD 3D"~"Dine-In Full Service"~"Closed Caption"~"Audio Description"~"11:30am"~"2:30pm"~"6:00pm"~"9:15pm"
"Justice League"~"REALD 3D"~"Closed Caption"~"Audio Description"~"1:00pm"~"7:30pm"~"10:30pm"
"Justice League"~"DIGITAL"~"Closed Caption"~"Audio Description"~"10:30am"~"12:15pm"~"3:30pm"~"4:15pm"~"6:45p"~"9:45pm"
"Justice League"~"DIGITAL"~"Dine-In Full Service"~"Closed Caption"~"Audio Description"~"1:45pm"~"5:00pm"~"8:00pm"~"8:30pm"~"11:15pm"
"Wonder"~"DIGITAL"~"Closed Caption"~"Audio Description"~"10:45am"~"11:30am"~"2:15pm"~"5:00pm"~"8:15pm"~"11:15pm"
"Wonder"~"DIGITAL"~"Dine-In Full Service"~"Closed Caption"~"Audio Description"~"12:45pm"~"3:45pm"~"7:00pm"~"10:15pm"
"Thor: Ragnarok"~"REALD 3D"~"Closed Caption"~"Audio Description"~"12:45pm"~"4:15pm"
"Thor: Ragnarok"~"DIGITAL"~"Closed Caption"~"Audio Description"~"10:45am"~"11:45am"~"2:45pm"~"6:15pm"~"7:45pm"~"9:15pm"~"10:45pm"
"Thor: Ragnarok"~"DIGITAL"~"Dine-In Full Service"~"Closed Caption"~"Audio Description"~"2:00pm"~"5:15pm"
"Daddy's Home 2"~"DIGITAL"~"Closed Caption"~"Audio Description"~"10:30am"~"1:15pm"~"4:30pm"~"7:00pm"~"9:15pm"~"10:00pm"
"Daddy's Home 2"~"DIGITAL"~"Dine-In Full Service"~"Closed Caption"~"Audio Description"~"12:00pm"~"2:45pm"~"5:45pm"~"8:45pm"
"Murder On The Orient Express"~"DIGITAL"~"Closed Caption"~"Audio Description"~"10:45am"~"4:45pm"~"6:15pm"~"7:45pm"~"10:30pm"
"The Star"~"DIGITAL"~"Dine-In Full Service"~"Closed Caption"~"Audio Description"~"11:15am"
"The Star"~"DIGITAL"~"Closed Caption"~"Audio Description"~"1:45pm"~"4:30pm"~"7:00pm"~"9:30pm"
"Three Billboards Outside Ebbing Missouri"~"DIGITAL"~"Closed Caption"~"Audio Description"~"11:30am"~"1:30pm"~"2:15pm"~"4:30pm"~"5:30pm"~"7:15pm"~"10:15pm"
"Lady Bird"~"DIGITAL"~"11:15am"~"1:30pm"~"4:00pm"~"6:45pm"~"9:00pm"
"Roman J. Israel, Esq."~"DIGITAL"~"Closed Caption"~"Audio Description"~"11:00am"~"2:00pm"~"4:45pm"~"7:45pm"~"10:45pm"
"The Man Who Invented Christmas"~"DIGITAL"~"Closed Caption"~"Audio Description"~"1:45pm"~"3:30pm"~"6:30pm"~"9:30pm"
"Titanic in Dolby Vision"~"DOLBY"~"12:00pm"~"4:00pm"~"8:00pm"
"A Bad Moms Christmas"~"DIGITAL"~"Closed Caption"~"Audio Description"~"11:15am"~"2:15pm"~"5:15pm"~"8:15pm"~"11:00pm"
"Marshall"~"DIGITAL"~"Closed Caption"~"Audio Description"~"10:30am"
"Marshall"~"DIGITAL"~"Closed Caption"~"Audio Description"~"1:15pm"~"4:15pm"~"7:15pm"~"10:00pm"
"Blade Runner 2049"~"DIGITAL"~"Closed Caption"~"Audio Description"~"11:00am"~"2:45pm"~"6:15pm"~"9:45pm"
"Jigsaw"~"DIGITAL"~"Closed Caption"~"Audio Description"~"8:30pm"~"11:00pm"
"It"~"DIGITAL"~"Closed Caption"~"Audio Description"~"3:15pm"~"9:45pm"
"Happy Death Day"~"DIGITAL"~"Closed Caption"~"Audio Description"~"5:30pm"~"11:00pm"
"Kingsman: The Golden Circle"~"DIGITAL"~"Closed Caption"~"Audio Description"~"12:00pm"~"6:30pm"
"Geostorm"~"DIGITAL"~"Closed Caption"~"Audio Description"~"2:30pm"~"8:15pm"
"The Tad Lost Explorer and The Secret King Of Midas"~"DIGITAL"~"Closed Caption"~"Audio Description"~"1:30pm"~"3:45pm"
